"SeqName"	"Description.x"	"log2FoldChange.x"	"log2FoldChange.y"
"TRINITY_DN29509_c0_g2_i1.p1"	"ABE60891.1 putative polyprotein"	10.08658723	9.703189761
"TRINITY_DN9589_c0_g1_i2.p1"	"XP_010230760.1 rab escort protein 1"	9.404388703	4.864481008
"TRINITY_DN26631_c0_g1_i3.p2"	"XP_020177949.1 uncharacterized protein LOC109763512"	9.221374446	8.181088226
"TRINITY_DN135010_c0_g1_i1.p1"	"VAH09659.1 unnamed protein product"	9.123823525	8.936320058
"TRINITY_DN29711_c0_g2_i2.p1"	"KAF2928916.1 hypothetical protein DAI22_05g018425"	9.115745207	6.225252463
"TRINITY_DN52394_c0_g1_i1.p1"	"XP_020189066.1 uncharacterized protein LOC109774714"	9.07223059	8.878160929
"TRINITY_DN48812_c0_g1_i4.p1"	"TVU25013.1 hypothetical protein EJB05_27487, partial"	9.018443578	8.652472639
"TRINITY_DN29360_c0_g1_i2.p1"	"VAI82290.1 unnamed protein product"	9.016321906	5.59991172
"TRINITY_DN30468_c0_g1_i1.p1"	"XP_003566173.2 molybdate transporter 2"	9.013243501	7.767637927
"TRINITY_DN28523_c0_g1_i1.p1"	"CAB3476528.1 unnamed protein product"	8.977974448	9.045216252
"TRINITY_DN135416_c0_g1_i1.p1"	"XP_020171750.1 uncharacterized protein LOC109757334 isoform X1"	8.909984679	5.630447154
"TRINITY_DN18915_c0_g2_i1.p1"	"PNT63610.1 hypothetical protein BRADI_4g18320v3"	8.857429217	8.06260631
"TRINITY_DN150129_c0_g1_i1.p1"	"VAI42257.1 unnamed protein product"	8.778251932	6.27592421
"TRINITY_DN54641_c0_g1_i6.p1"	"GER47420.1 DNA mismatch repair protein MutL"	8.748740071	9.012780792
"TRINITY_DN83005_c0_g1_i1.p1"	"VAH40491.1 unnamed protein product"	8.737940721	-8.405959443
"TRINITY_DN44186_c0_g1_i1.p1"	"EMS46325.1 hypothetical protein TRIUR3_26375"	8.668466275	8.784852595
"TRINITY_DN26612_c0_g1_i1.p1"	"KAF0909025.1 hypothetical protein E2562_030563"	8.61758793	-8.276157209
"TRINITY_DN24785_c0_g2_i1.p2"	"KAE8811188.1 putative splicing factor 3A subunit 1"	8.614046677	6.464566643
"TRINITY_DN144542_c0_g1_i1.p1"	"XP_003562633.1 origin of replication complex subunit 6"	8.611583856	-6.116825405
"TRINITY_DN35663_c0_g1_i1.p1"	"VAI52328.1 unnamed protein product"	8.588475443	-8.378551803
"TRINITY_DN106288_c0_g1_i1.p1"	"BAT12288.1  Os11g0103900"	8.518675506	8.316032207
"TRINITY_DN22336_c0_g1_i2.p1"	"PNT66277.1 hypothetical protein BRADI_3g09532v3"	8.472682375	8.449513162
"TRINITY_DN23597_c0_g1_i3.p1"	"CDM80302.1 unnamed protein product"	8.456676552	-7.452289826
